Command,Duration
UP,0.26
LEFT,0.91
UP,0.49
DOWN,0.29
LEFT,1.29
UP,0.38
RIGHT,1.23
UP,1.70
RIGHT,1.71
UP,0.78
LEFT,0.99
RIGHT,0.39
UP,1.44
RIGHT,2.49
UP,2.47
RIGHT,0.94
RIGHT,0.44
DOWN,1.74
DOWN,0.44
DOWN,0.38
RIGHT,1.97
UP,0.92
UP,0.53
RIGHT,1.72
LEFT,0.38
DOWN,0.86
LEFT,0.45
LEFT,0.24
DOWN,1.61
LEFT,0.24
DOWN,0.92
SLIDERIGHT,1.12
UP,0.63
UP,0.20
RIGHT,0.65
LEFT,1.16
DOWN,1.44
UP,0.34
RIGHT,0.20
UP,0.65
LEFT,0.16
LEFT,0.75
UP,0.85
LEFT,0.72
UP,0.92
LEFT,0.82
LEFT,1.42
UP,3.26
LEFT,0.34
DOWN,0.23
LEFT,0.34
DOWN,0.30
UP,0.45
RIGHT,0.24
LEFT,0.34
DOWN,0.48
RIGHT,0.30
UP,0.38
UP,0.08
LEFT,0.25
DOWN,0.40
UP,0.24
RIGHT,0.12
SLIDERIGHT,2.23
UP,0.36
LEFT,0.88
LEFT,1.03
UP,1.13
LEFT,0.42
RIGHT,0.15
UP,0.75
RIGHT,0.18
UP,0.53
DOWN,0.67
DOWN,0.31
LEFT,2.05
SLIDERIGHT,0.68
SLIDERIGHT,0.26
DOWN,0.38
LEFT,1.56
UP,0.29
LEFT,0.74
UP,0.17
LEFT,1.09

Total Commands,84
Total Duration,66.25 seconds
