Command,Duration
UP,0.58
LEFT,1.48
LEFT,0.77
RIGHT,0.51
LEFT,0.34
UP,0.35
LEFT,1.40
RIGHT,0.22
UP,0.18
RIGHT,1.46
UP,1.78
RIGHT,1.88
UP,1.59
RIGHT,1.58
RIGHT,0.96
RIGHT,0.27
UP,2.36
RIGHT,0.27
UP,1.23
RIGHT,0.47
UP,1.69
RIGHT,0.58
UP,1.35
DOWN,0.36
RIGHT,1.08
DOWN,0.58
DOWN,0.64
RIGHT,4.09
RIGHT,0.18
DOWN,0.27
RIGHT,2.38
UP,0.65
UP,0.14
LEFT,1.89
UP,0.40
UP,0.33
LEFT,1.97
UP,0.73
UP,0.19
LEFT,3.80
UP,0.10
RIGHT,0.07
UP,0.10
UP,0.07
RIGHT,0.08
UP,0.09
LEFT,0.22
DOWN,0.59
RIGHT,0.18
RIGHT,0.35
UP,0.98
UP,0.22
SLIDERIGHT,2.85
UP,0.09
UP,0.08
RIGHT,0.07
UP,0.15
UP,0.07
RIGHT,0.10
UP,0.08
UP,0.06
RIGHT,0.07
UP,0.07
UP,0.09
RIGHT,0.10
UP,0.12
LEFT,0.86
UP,0.41
LEFT,1.23
LEFT,0.54
UP,0.52
LEFT,0.26
RIGHT,0.30
UP,2.41
UP,0.48
UP,1.12
RIGHT,2.21
UP,0.70
RIGHT,0.80
UP,0.72
RIGHT,1.84
UP,0.38
UP,1.03
LEFT,1.46
UP,3.41
LEFT,4.11
UP,0.27
UP,0.51
LEFT,1.50
UP,0.24
LEFT,1.01
UP,1.02
LEFT,1.13
UP,0.30
LEFT,0.61
SLIDERIGHT,0.24
SLIDERIGHT,2.20
DOWN,1.13
LEFT,1.16
DOWN,0.50
LEFT,0.89
DOWN,0.46
LEFT,0.34
DOWN,0.48
DOWN,0.75
RIGHT,0.69
RIGHT,1.04
DOWN,0.15
DOWN,0.16
RIGHT,1.74
LEFT,0.43
DOWN,0.58
RIGHT,0.17
DOWN,0.06
LEFT,0.15
LEFT,0.15
UP,0.15
LEFT,0.29
DOWN,0.26
RIGHT,0.72
UP,1.73
SLIDERIGHT,2.83
UP,0.14
LEFT,0.26
LEFT,0.16
UP,0.10
LEFT,0.09
LEFT,0.09
RIGHT,0.11
LEFT,0.46
RIGHT,0.50
DOWN,0.03
LEFT,0.77
LEFT,0.13
RIGHT,0.51
SLIDERIGHT,2.36
RIGHT,0.10
LEFT,0.25
DOWN,0.08
RIGHT,0.08
UP,0.24
LEFT,0.23
DOWN,0.50
RIGHT,0.54
SLIDERIGHT,1.10
UP,0.27
LEFT,0.27
UP,0.18
LEFT,0.40
RIGHT,0.27
DOWN,0.32
RIGHT,0.55
SLIDERIGHT,2.50
LEFT,0.40
RIGHT,0.24
LEFT,0.16
DOWN,0.07
RIGHT,0.12
SLIDERIGHT,0.49
LEFT,0.12
DOWN,0.11
DOWN,0.08
DOWN,0.08
RIGHT,0.10
DOWN,0.08
RIGHT,0.08
UP,0.45
LEFT,0.61
DOWN,0.43
RIGHT,0.46
LEFT,0.61
UP,0.69
RIGHT,0.27
DOWN,0.18
DOWN,0.47
RIGHT,0.59
SLIDERIGHT,1.58
UP,0.21
LEFT,0.58
UP,0.32
DOWN,0.53
UP,0.08
RIGHT,0.83
SLIDERIGHT,2.77
LEFT,0.30
RIGHT,0.20
UP,0.10
LEFT,0.34
DOWN,0.10
RIGHT,0.16
SLIDERIGHT,2.38
LEFT,0.17
UP,0.18
DOWN,0.11
RIGHT,0.14
LEFT,0.21
UP,0.23
DOWN,0.17
RIGHT,0.18
SLIDERIGHT,3.79
LEFT,0.20
UP,0.26
DOWN,0.16
RIGHT,0.25
SLIDERIGHT,2.56
UP,0.17
LEFT,0.17
LEFT,0.16
UP,0.16
DOWN,0.13
RIGHT,0.16
SLIDERIGHT,1.82
LEFT,0.16
RIGHT,0.11
LEFT,0.21
UP,0.29
DOWN,0.31
RIGHT,0.39
SLIDERIGHT,2.40
UP,0.14
LEFT,0.16
UP,0.14
LEFT,0.16
DOWN,0.13
RIGHT,0.16
SLIDERIGHT,2.37
UP,0.19
LEFT,0.20
RIGHT,0.22
DOWN,0.17
SLIDERIGHT,2.19
RIGHT,0.23
DOWN,0.17
SLIDERIGHT,2.68
RIGHT,0.06
DOWN,0.06
RIGHT,0.07
DOWN,0.10
RIGHT,0.13
SLIDERIGHT,1.46
LEFT,0.25
RIGHT,0.22
DOWN,0.32
LEFT,0.20
SLIDERIGHT,0.61
RIGHT,0.18
DOWN,0.12
RIGHT,0.14
LEFT,0.31
UP,0.29
RIGHT,0.16
DOWN,0.20
RIGHT,0.28
RIGHT,0.10
UP,0.38
LEFT,0.66
RIGHT,0.01
DOWN,0.21
RIGHT,0.12
DOWN,0.09
RIGHT,0.13
SLIDERIGHT,2.03
RIGHT,0.13
DOWN,0.08
RIGHT,0.09
RIGHT,0.18
DOWN,0.08
LEFT,0.20
SLIDERIGHT,3.49
LEFT,0.32
UP,0.11
LEFT,0.12
RIGHT,0.09
UP,0.27
LEFT,0.20
LEFT,0.29
DOWN,0.15
RIGHT,0.35
SLIDERIGHT,4.90
UP,0.66
UP,0.34
LEFT,1.75
LEFT,0.83
UP,0.84
RIGHT,0.28
LEFT,0.20
UP,1.30
LEFT,0.41
LEFT,0.45
DOWN,3.35
LEFT,0.25
DOWN,1.78
LEFT,0.75
DOWN,1.49
DOWN,0.76
LEFT,1.73

Total Commands,296
Total Duration,193.52 seconds
