Command,Duration
UP,0.39
LEFT,0.99
UP,0.22
LEFT,1.04
RIGHT,1.01
UP,0.70
RIGHT,0.95
RIGHT,0.94
UP,1.36
RIGHT,0.78
UP,1.43
RIGHT,0.23
UP,1.51
RIGHT,0.39
UP,1.45
DOWN,0.29
RIGHT,1.25
RIGHT,1.41
DOWN,0.69
DOWN,0.55
RIGHT,2.07
LEFT,0.62
DOWN,0.90
UP,0.13
LEFT,0.16
LEFT,0.11
SLIDERIGHT,1.40
LEFT,0.80
UP,0.80
UP,1.46
LEFT,1.55
UP,0.52
UP,0.48
UP,0.16
LEFT,1.85
RIGHT,0.14
UP,0.12
UP,0.20
RIGHT,0.21
SLIDERIGHT,0.59
UP,0.31
LEFT,0.89
LEFT,0.46
UP,0.77
LEFT,0.85
UP,0.14
LEFT,0.95
UP,0.16
LEFT,1.00
LEFT,0.59
UP,0.17
UP,0.16
LEFT,1.95

Total Commands,53
Total Duration,40.26 seconds
